Deal name,Amount,Deal stage,Close date,Create date,Lead Source,Primary Campaign ID,Expected Revenue,Salesforce Account ID,Salesforce Opportunity ID
Apex Group - HubSpot-SFDC Integration,75381,Prospecting,2026-10-04,2026-04-04,Content Download,CMP000027,7538.1,ACC000375,OPP000670
Meridian Labs 60 - Lifecycle Redesign,175029,Proposal,2026-05-15,2025-12-03,Organic Search,CMP000021,105017.4,ACC000118,OPP001494
Summit Ops - RevOps Retainer,125431,Prospecting,2025-06-29,2025-02-27,Event,CMP000024,12543.1,ACC000105,OPP000179
Ironwood Networks 73 - RevOps Retainer,97212,Closed Lost,2025-11-10,2025-09-03,Webinar,CMP000004,0.0,ACC000384,OPP001313
Nimbus Software - Lifecycle Redesign,35714,Discovery,2026-03-26,2025-12-23,Partner,CMP000033,8928.5,ACC000259,OPP000170
BluePeak Ops 21 - CRM Cleanup,65498,Proposal,2025-07-11,2025-04-06,LinkedIn,CMP000036,39298.8,ACC000607,OPP000702
Northstar Networks 30 - Lead Routing,151586,Demo,2025-05-06,2025-02-13,Organic Search,CMP000027,60634.4,ACC000581,OPP000769
Clearpath Intelligence 94 - HubSpot-SFDC Integration,80864,Prospecting,2026-01-01,2025-08-25,Outbound,,8086.4,ACC000408,OPP000954
Ironwood Markets - Lead Routing,41580,Proposal,2026-10-15,2026-06-10,Direct,CMP000006,24948.0,ACC000026,OPP000184
Meridian Works 77 - RevOps Retainer,259650,Closed Lost,2025-03-14,2025-01-15,Referral,CMP000010,0.0,ACC000277,OPP000039
Bright Solutions - Reporting Build,28577,Closed Lost,2026-05-13,2026-04-24,Webinar,CMP000012,0.0,ACC000078,OPP000243
Keystone Markets - HubSpot-SFDC Integration,9249,Proposal,2026-03-28,2026-02-26,Partner,CMP000024,5549.4,ACC000028,OPP001122
Northstar Markets 56 - Reporting Build,135263,Negotiation,2026-05-23,2026-01-20,Event,CMP000015,101447.25,ACC000640,OPP000205
BluePeak Ops 21 - Lifecycle Redesign,67504,Proposal,2026-09-20,2026-05-19,Content Download,CMP000023,40502.4,ACC000607,OPP000570
Pioneer Intelligence - HubSpot-SFDC Integration,5000,Demo,2026-06-21,2026-06-06,Event,CMP000035,2000.0,ACC000138,OPP000009
Bright Systems 91 - CRM Cleanup,157545,Negotiation,2026-08-02,2026-04-06,Content Download,CMP000001,118158.75,ACC000343,OPP001129
Pioneer Solutions - Lead Routing,65698,Closed Lost,2025-04-18,2025-02-12,Outbound,CMP000012,0.0,ACC000353,OPP000649
Meridian Software 78 - Reporting Build,193523,Demo,2025-06-03,2025-01-16,Outbound,CMP000003,77409.2,ACC000126,OPP001060
Nimbus Data - CRM Cleanup,162790,Closed Lost,2025-11-10,2025-06-23,Direct,CMP000012,0.0,ACC000141,OPP000841
Nova Markets - Reporting Build,108424,Discovery,2026-10-24,2026-05-17,Partner,CMP000036,27106.0,ACC000009,OPP000163
Evergreen Networks 48 - RevOps Retainer,76607,Proposal,2025-09-03,2025-05-09,Direct,CMP000024,45964.2,ACC000379,OPP000161
Cobalt Platform 29 - Reporting Build,29974,Demo,2025-10-21,2025-07-20,Content Download,CMP000034,11989.6,ACC000398,OPP001148
Cobalt Cloud - Reporting Build,13365,Proposal,2025-06-04,2025-05-15,Outbound,CMP000013,8019.0,ACC000404,OPP000072
Cobalt Works - Reporting Build,34222,Prospecting,2025-09-22,2025-07-25,Referral,,3422.2,ACC000095,OPP000764
Cobalt Intelligence - RevOps Retainer,33868,Prospecting,2026-05-15,2026-01-17,Direct,CMP000014,3386.8,ACC000228,OPP001014
Nova Cloud 58 - RevOps Retainer,87629,Prospecting,2025-07-29,2025-04-06,Organic Search,CMP000017,8762.9,ACC000199,OPP000748
Nimbus Software - CRM Cleanup,13494,Closed Lost,2025-03-24,2025-01-10,Event,CMP000017,0.0,ACC000259,OPP001194
Signal Health - RevOps Retainer,334072,Demo,2026-03-31,2025-12-06,Outbound,CMP000016,133628.8,ACC000248,OPP001099
Ironwood Platform - Lead Routing,5298,Demo,2025-09-19,2025-07-14,Webinar,CMP000014,2119.2,ACC000513,OPP000449
Bright Works - CRM Cleanup,19611,Demo,2026-05-04,2026-04-01,LinkedIn,CMP000029,7844.4,ACC000156,OPP000892
Clearpath Networks - HubSpot-SFDC Integration,5000,Closed Lost,2026-02-06,2025-12-06,Paid Search,CMP000004,0.0,ACC000069,OPP001111
Bright Markets - RevOps Retainer,48029,Prospecting,2025-06-20,2025-05-01,Outbound,CMP000030,4802.9,ACC000487,OPP000280
Catalyst Intelligence - HubSpot-SFDC Integration,62948,Closed Lost,2025-12-12,2025-07-18,Organic Search,CMP000028,0.0,ACC000464,OPP000191
Cobalt Dynamics - Reporting Build,291421,Closed Won,2025-07-21,2025-03-26,Paid Search,CMP000002,291421.0,ACC000606,OPP000079
Apex Ops 16 - Lifecycle Redesign,28669,Demo,2025-07-09,2025-04-24,Partner,,11467.6,ACC000483,OPP000020
Evergreen Systems - HubSpot-SFDC Integration,423015,Prospecting,2026-01-08,2025-08-07,LinkedIn,CMP000031,42301.5,ACC000025,OPP000746
BluePeak Solutions - RevOps Retainer,57360,Discovery,2025-05-02,2025-01-20,Content Download,CMP000005,14340.0,ACC000339,OPP000557
Vertex Health - RevOps Retainer,105320,Demo,2026-05-30,2026-02-05,Outbound,CMP000036,42128.0,ACC000290,OPP000091
Vertex Systems 29 - Lifecycle Redesign,139980,Demo,2025-11-14,2025-08-10,Event,CMP000022,55992.0,ACC000337,OPP000059
Bright Health - RevOps Retainer,11257,Prospecting,2025-12-19,2025-11-14,Paid Search,CMP000027,1125.7,ACC000021,OPP001447
Clearpath Markets 43 - Lifecycle Redesign,18738,Closed Won,2025-12-07,2025-11-22,Event,CMP000029,18738.0,ACC000397,OPP000488
Ironwood Labs - RevOps Retainer,10813,Proposal,2026-08-12,2026-05-29,Paid Search,CMP000034,6487.8,ACC000135,OPP001389
Cobalt Health - Reporting Build,41335,Proposal,2025-12-21,2025-10-19,Organic Search,CMP000029,24801.0,ACC000317,OPP000262
Atlas Software 68 - Lead Routing,50687,Closed Lost,2025-09-01,2025-06-19,Event,CMP000009,0.0,ACC000411,OPP000777
Pioneer Ops 94 - Lifecycle Redesign,417327,Demo,2026-07-23,2026-02-13,Referral,CMP000025,166930.8,ACC000176,OPP001270
Ironwood Ops - RevOps Retainer,75953,Closed Lost,2025-10-02,2025-09-11,Partner,CMP000029,0.0,ACC000253,OPP000680
BluePeak Intelligence - Lifecycle Redesign,448573,Negotiation,2026-02-28,2025-11-08,Webinar,CMP000027,336429.75,ACC000423,OPP001072
Pioneer Ops 94 - RevOps Retainer,249914,Demo,2026-01-08,2025-09-21,Paid Search,CMP000030,99965.6,ACC000176,OPP000350
Catalyst Works 16 - HubSpot-SFDC Integration,181046,Demo,2026-04-04,2025-12-08,LinkedIn,CMP000018,72418.4,ACC000382,OPP000630
BluePeak Cloud 17 - RevOps Retainer,28485,Negotiation,2025-11-26,2025-09-24,Direct,CMP000002,21363.75,ACC000480,OPP000504
Clearpath Intelligence - Reporting Build,171157,Discovery,2026-04-03,2025-12-23,Organic Search,CMP000031,42789.25,ACC000050,OPP001427
Summit Platform - HubSpot-SFDC Integration,93577,Negotiation,2025-10-28,2025-10-06,Paid Search,CMP000020,70182.75,ACC000049,OPP000955
Apex Platform 59 - CRM Cleanup,22736,Proposal,2025-04-12,2025-02-15,Partner,CMP000018,13641.6,ACC000442,OPP001634
Nova Intelligence 92 - RevOps Retainer,114485,Demo,2025-11-16,2025-06-03,Content Download,CMP000019,45794.0,ACC000249,OPP000682
Catalyst Ops 73 - Reporting Build,125157,Closed Won,2026-01-17,2025-11-01,Paid Search,CMP000027,125157.0,ACC000179,OPP001199
Apex Group - Lifecycle Redesign,133892,Closed Lost,2026-09-04,2026-04-28,Content Download,CMP000022,0.0,ACC000375,OPP001123
Pioneer Platform 96 - HubSpot-SFDC Integration,148081,Demo,2026-03-11,2025-10-13,Event,,59232.4,ACC000616,OPP001482
Bright Labs 72 - CRM Cleanup,39497,Prospecting,2026-08-24,2026-06-03,Partner,CMP000022,3949.7,ACC000101,OPP001556
Keystone Solutions - RevOps Retainer,31848,Prospecting,2025-03-02,2025-01-14,Organic Search,CMP000034,3184.8,ACC000041,OPP000583
BluePeak Markets 96 - Lead Routing,51701,Closed Won,2026-03-06,2025-12-23,Partner,CMP000020,51701.0,ACC000282,OPP000392
Pioneer Labs 30 - Reporting Build,41548,Discovery,2026-02-16,2025-10-19,Webinar,CMP000001,10387.0,ACC000543,OPP000882
Meridian Works - RevOps Retainer,73685,Closed Lost,2025-09-19,2025-04-08,Direct,CMP000034,0.0,ACC000207,OPP001539
BluePeak Data 9 - Reporting Build,50553,Closed Lost,2026-06-23,2026-04-11,LinkedIn,CMP000024,0.0,ACC000308,OPP001077
Ironwood Software - Reporting Build,72554,Discovery,2026-05-08,2025-12-03,Referral,CMP000002,18138.5,ACC000092,OPP000454
Evergreen Ops 74 - RevOps Retainer,19361,Proposal,2026-03-09,2026-01-24,Event,,11616.6,ACC000614,OPP000627
Catalyst Ops 73 - Lifecycle Redesign,23202,Closed Lost,2026-08-04,2026-04-29,Outbound,CMP000029,0.0,ACC000179,OPP000055
Northstar Health - Lifecycle Redesign,192476,Demo,2025-07-10,2025-02-12,Webinar,CMP000009,76990.4,ACC000532,OPP001535
Ironwood Systems 13 - CRM Cleanup,24615,Closed Lost,2026-01-30,2025-12-15,LinkedIn,CMP000023,0.0,ACC000268,OPP000513
Atlas Dynamics - CRM Cleanup,12817,Closed Lost,2025-07-28,2025-05-27,Referral,CMP000029,0.0,ACC000136,OPP000916
Northstar Health - Lead Routing,296383,Closed Won,2026-07-24,2026-03-13,Outbound,CMP000015,296383.0,ACC000532,OPP000931
Nova Markets 92 - HubSpot-SFDC Integration,69826,Closed Won,2026-07-13,2026-03-12,LinkedIn,CMP000030,69826.0,ACC000469,OPP000314
Vertex Dynamics 65 - Lifecycle Redesign,49416,Demo,2026-01-19,2025-10-28,Organic Search,,19766.4,ACC000251,OPP001613
Catalyst Ops - Lead Routing,136372,Closed Won,2026-05-23,2026-01-29,Direct,CMP000016,136372.0,ACC000433,OPP000326
Apex Data - Lead Routing,83749,Proposal,2026-08-12,2026-05-01,Partner,CMP000026,50249.4,ACC000511,OPP000501
Summit Platform - RevOps Retainer,62034,Closed Lost,2025-03-31,2025-01-23,LinkedIn,CMP000036,0.0,ACC000049,OPP000953
BluePeak Dynamics 93 - RevOps Retainer,29771,Closed Won,2025-06-22,2025-05-18,Direct,,29771.0,ACC000226,OPP000689
Meridian Group - Reporting Build,36133,Negotiation,2025-08-19,2025-06-29,Organic Search,CMP000016,27099.75,ACC000091,OPP001382
Nimbus Platform 85 - HubSpot-SFDC Integration,26412,Discovery,2025-12-29,2025-10-02,Outbound,CMP000010,6603.0,ACC000485,OPP000734
Keystone Ops - CRM Cleanup,277556,Proposal,2026-05-08,2025-12-30,Content Download,CMP000033,166533.6,ACC000609,OPP000319
Atlas Platform - CRM Cleanup,45745,Closed Lost,2026-06-06,2026-03-27,Partner,,0.0,ACC000060,OPP000300
Meridian Labs 60 - Lead Routing,114681,Prospecting,2026-01-24,2025-10-27,Referral,CMP000006,11468.1,ACC000118,OPP001107
Nimbus Health 75 - CRM Cleanup,63589,Discovery,2025-10-27,2025-08-28,Content Download,CMP000008,15897.25,ACC000424,OPP000866
Evergreen Data 84 - Lifecycle Redesign,6056,Discovery,2026-02-22,2025-12-20,Content Download,CMP000017,1514.0,ACC000582,OPP000264
Signal Group - Lifecycle Redesign,650000,Proposal,2025-06-29,2025-01-20,Event,CMP000018,390000.0,ACC000033,OPP001242
Northstar Dynamics 19 - HubSpot-SFDC Integration,350643,Closed Lost,2026-03-27,2025-11-26,Referral,CMP000012,0.0,ACC000578,OPP001510
Bright Analytics - HubSpot-SFDC Integration,12391,Demo,2026-09-07,2026-05-28,Webinar,,4956.4,ACC000032,OPP000426
Bright Analytics 25 - RevOps Retainer,59148,Demo,2025-03-23,2025-02-23,Outbound,CMP000012,23659.2,ACC000030,OPP000675
Summit Networks 26 - Lead Routing,47935,Closed Lost,2026-01-17,2025-10-29,Content Download,CMP000001,0.0,ACC000098,OPP000950
Meridian Intelligence - CRM Cleanup,20313,Proposal,2026-02-06,2025-11-09,Direct,,12187.8,ACC000220,OPP000562
Catalyst Health 65 - Reporting Build,270701,Closed Won,2025-09-24,2025-05-04,Partner,CMP000030,270701.0,ACC000463,OPP000121
Clearpath Health 19 - Lifecycle Redesign,52951,Demo,2025-07-15,2025-03-30,Event,CMP000003,21180.4,ACC000359,OPP000060
Meridian Labs 79 - HubSpot-SFDC Integration,20436,Demo,2026-07-20,2026-04-15,Direct,CMP000028,8174.4,ACC000244,OPP000886
Northstar Markets 77 - Lifecycle Redesign,173140,Demo,2025-06-29,2025-02-21,Direct,CMP000012,69256.0,ACC000494,OPP000284
Northstar Solutions - RevOps Retainer,23217,Prospecting,2025-05-25,2025-03-29,Webinar,CMP000023,2321.7,ACC000150,OPP001558
Apex Works 61 - Lead Routing,127820,Proposal,2025-12-01,2025-09-10,Event,CMP000016,76692.0,ACC000314,OPP000597
Bright Health 59 - HubSpot-SFDC Integration,97600,Discovery,2026-04-12,2025-12-09,Outbound,CMP000024,24400.0,ACC000548,OPP001640
Apex Works 61 - CRM Cleanup,80725,Demo,2026-02-25,2025-11-22,Paid Search,CMP000020,32290.0,ACC000314,OPP001076
Summit Cloud - Lead Routing,56262,Prospecting,2026-10-24,2026-05-28,Referral,CMP000016,5626.2,ACC000273,OPP000094
Signal Networks - Lead Routing,136060,Discovery,2026-10-19,2026-05-21,Direct,CMP000012,34015.0,ACC000298,OPP000268
Pioneer Ops 94 - Lead Routing,41977,Prospecting,2026-07-04,2026-01-25,Partner,CMP000033,4197.7,ACC000176,OPP000160
Catalyst Intelligence 41 - HubSpot-SFDC Integration,25381,Proposal,2025-12-18,2025-09-03,Event,CMP000017,15228.6,ACC000515,OPP000622
Atlas Data 82 - Lifecycle Redesign,55396,Prospecting,2026-09-01,2026-06-02,Organic Search,CMP000018,5539.6,ACC000649,OPP000194
Clearpath Data 6 - Reporting Build,41389,Closed Lost,2026-07-02,2026-03-11,Webinar,CMP000031,0.0,ACC000201,OPP001635
Evergreen Markets 75 - HubSpot-SFDC Integration,175606,Negotiation,2025-12-28,2025-08-06,Partner,CMP000011,131704.5,ACC000479,OPP001141
Bright Markets 38 - HubSpot-SFDC Integration,149118,Closed Lost,2026-06-08,2026-01-19,Organic Search,CMP000015,0.0,ACC000146,OPP001423
Signal Markets 44 - CRM Cleanup,132454,Demo,2026-01-04,2025-10-02,Direct,CMP000017,52981.6,ACC000526,OPP000979
Clearpath Systems - HubSpot-SFDC Integration,102981,Discovery,2026-03-14,2026-01-23,Content Download,CMP000013,25745.25,ACC000223,OPP000905
Keystone Solutions - Lifecycle Redesign,11171,Demo,2025-10-13,2025-09-22,Referral,CMP000003,4468.4,ACC000041,OPP000002
Northstar Cloud - CRM Cleanup,75141,Closed Won,2026-09-12,2026-04-27,Direct,CMP000002,75141.0,ACC000181,OPP001353
Cobalt Dynamics 35 - CRM Cleanup,187387,Proposal,2025-08-17,2025-04-28,Paid Search,CMP000034,112432.2,ACC000110,OPP000008
Cobalt Cloud 98 - HubSpot-SFDC Integration,89517,Discovery,2026-02-11,2025-08-21,Paid Search,CMP000014,22379.25,ACC000151,OPP001437
Atlas Labs 13 - Reporting Build,53295,Discovery,2025-05-01,2025-01-29,LinkedIn,CMP000025,13323.75,ACC000293,OPP000465
Evergreen Markets 75 - Reporting Build,83879,Proposal,2026-01-20,2025-07-29,Event,CMP000004,50327.4,ACC000479,OPP000186
Catalyst Works 16 - CRM Cleanup,294724,Discovery,2025-07-29,2025-03-18,Webinar,,73681.0,ACC000382,OPP001351
Northstar Solutions 73 - HubSpot-SFDC Integration,38701,Closed Lost,2025-02-19,2025-01-04,Referral,CMP000024,0.0,ACC000574,OPP001184
Meridian Labs - HubSpot-SFDC Integration,14764,Proposal,2025-03-12,2025-01-09,Direct,CMP000009,8858.4,ACC000275,OPP000331
Northstar Cloud - Lead Routing,83528,Discovery,2026-07-20,2026-03-01,Paid Search,CMP000028,20882.0,ACC000181,OPP000964
Ironwood Analytics - RevOps Retainer,150322,Discovery,2025-09-08,2025-04-04,Outbound,CMP000031,37580.5,ACC000011,OPP001551
Apex Networks - RevOps Retainer,121519,Discovery,2026-05-08,2026-02-10,Outbound,CMP000036,30379.75,ACC000246,OPP000051
Northstar Software 45 - HubSpot-SFDC Integration,100565,Prospecting,2025-07-25,2025-06-05,Webinar,CMP000035,10056.5,ACC000210,OPP001079
Cobalt Cloud 98 - Lead Routing,276919,Discovery,2025-09-23,2025-05-26,Event,CMP000015,69229.75,ACC000151,OPP001408
Nova Analytics - Reporting Build,200104,Demo,2026-10-25,2026-06-08,Paid Search,CMP000028,80041.6,ACC000063,OPP000309
Clearpath Health 91 - CRM Cleanup,5000,Closed Lost,2026-04-25,2026-02-18,Partner,CMP000025,0.0,ACC000637,OPP000276
Clearpath Networks 80 - CRM Cleanup,10936,Demo,2026-04-23,2026-02-01,Partner,CMP000029,4374.4,ACC000534,OPP001247
Cobalt Labs 56 - CRM Cleanup,60300,Prospecting,2025-08-15,2025-05-31,Content Download,CMP000001,6030.0,ACC000310,OPP001109
Catalyst Data 39 - Lifecycle Redesign,82195,Closed Won,2025-07-15,2025-01-22,Content Download,CMP000005,82195.0,ACC000528,OPP000832
Nova Ops 75 - Lifecycle Redesign,19183,Demo,2026-08-09,2026-05-29,Organic Search,CMP000021,7673.2,ACC000192,OPP001486
Bright Labs - Lifecycle Redesign,42703,Discovery,2025-11-19,2025-08-05,Event,CMP000030,10675.75,ACC000029,OPP001185
Catalyst Dynamics 95 - Lifecycle Redesign,267798,Discovery,2025-10-31,2025-07-11,Paid Search,CMP000008,66949.5,ACC000518,OPP001596
Signal Works 47 - Reporting Build,80344,Prospecting,2026-03-01,2025-12-22,Outbound,CMP000008,8034.4,ACC000235,OPP000173
Atlas Systems 51 - Lead Routing,43849,Discovery,2025-07-24,2025-02-27,Direct,CMP000004,10962.25,ACC000495,OPP001606
Meridian Works - Lifecycle Redesign,181057,Discovery,2026-08-31,2026-04-06,Organic Search,CMP000002,45264.25,ACC000207,OPP000345
Signal Group 54 - Lead Routing,35091,Discovery,2025-04-09,2025-01-31,Direct,CMP000035,8772.75,ACC000613,OPP001221
Cobalt Labs 91 - RevOps Retainer,85519,Closed Lost,2025-11-14,2025-08-12,Event,CMP000031,0.0,ACC000576,OPP000292
Summit Data 97 - Reporting Build,37586,Closed Won,2026-07-06,2026-05-10,Referral,CMP000019,37586.0,ACC000646,OPP000266
Nova Data - RevOps Retainer,58278,Closed Lost,2025-08-23,2025-06-05,Referral,CMP000024,0.0,ACC000307,OPP000645
BluePeak Cloud 83 - RevOps Retainer,14386,Negotiation,2026-05-03,2026-02-23,Organic Search,,10789.5,ACC000435,OPP000696
Evergreen Group 71 - Lead Routing,11802,Prospecting,2026-02-21,2026-01-25,Partner,CMP000014,1180.2,ACC000284,OPP001026
Cobalt Markets 86 - RevOps Retainer,10775,Negotiation,2025-04-11,2025-02-26,Direct,CMP000030,8081.25,ACC000608,OPP001070
Bright Dynamics 68 - CRM Cleanup,24906,Proposal,2026-03-01,2026-01-12,Referral,CMP000018,14943.6,ACC000434,OPP000782
Summit Networks 26 - HubSpot-SFDC Integration,104967,Closed Won,2026-08-11,2026-05-10,Paid Search,CMP000024,104967.0,ACC000098,OPP000218
Evergreen Ops 30 - CRM Cleanup,181155,Demo,2026-08-06,2026-05-05,Webinar,CMP000026,72462.0,ACC000426,OPP000641
Atlas Data 82 - Lifecycle Redesign,32192,Prospecting,2025-07-16,2025-04-06,Event,CMP000013,3219.2,ACC000649,OPP000061
Nimbus Platform 85 - HubSpot-SFDC Integration,33847,Closed Lost,2025-05-10,2025-02-28,Partner,CMP000027,0.0,ACC000485,OPP001422
Nimbus Markets - Lead Routing,61778,Closed Lost,2026-01-24,2025-08-16,Referral,CMP000024,0.0,ACC000040,OPP000729
Catalyst Ops - RevOps Retainer,215973,Negotiation,2026-02-17,2025-10-03,Partner,CMP000008,161979.75,ACC000433,OPP001630
Nova Platform - HubSpot-SFDC Integration,29286,Demo,2025-08-15,2025-05-29,LinkedIn,CMP000028,11714.4,ACC000076,OPP000088
Apex Networks 54 - HubSpot-SFDC Integration,176996,Proposal,2026-01-14,2025-09-09,LinkedIn,CMP000034,106197.6,ACC000292,OPP000202
Atlas Data 82 - Lead Routing,130773,Negotiation,2025-09-21,2025-06-01,Event,CMP000026,98079.75,ACC000649,OPP000555
Atlas Markets 54 - Lead Routing,29995,Discovery,2026-01-06,2025-11-04,LinkedIn,CMP000007,7498.75,ACC000448,OPP001571
Nimbus Labs 15 - RevOps Retainer,15737,Closed Lost,2026-07-18,2026-03-28,Content Download,CMP000003,0.0,ACC000053,OPP000605
Northstar Health - Reporting Build,117241,Discovery,2026-07-20,2026-03-05,Organic Search,CMP000018,29310.25,ACC000532,OPP000215
Catalyst Health 65 - RevOps Retainer,133674,Discovery,2025-12-28,2025-08-08,LinkedIn,CMP000032,33418.5,ACC000463,OPP000395
Northstar Data 7 - RevOps Retainer,10344,Negotiation,2025-08-20,2025-05-31,Referral,CMP000022,7758.0,ACC000476,OPP000566
Vertex Dynamics 65 - Lifecycle Redesign,116042,Demo,2026-04-16,2025-12-10,LinkedIn,CMP000030,46416.8,ACC000251,OPP001159
Summit Markets 88 - RevOps Retainer,66655,Prospecting,2025-11-17,2025-09-18,LinkedIn,CMP000020,6665.5,ACC000601,OPP000750
Meridian Works - RevOps Retainer,181758,Prospecting,2025-06-19,2025-03-18,Direct,CMP000032,18175.8,ACC000207,OPP000188
Ironwood Data - HubSpot-SFDC Integration,29373,Prospecting,2025-10-13,2025-07-21,Webinar,CMP000021,2937.3,ACC000089,OPP001288
Catalyst Dynamics 95 - Lifecycle Redesign,52216,Closed Lost,2025-10-30,2025-08-16,Referral,CMP000033,0.0,ACC000518,OPP000850
Signal Ops - HubSpot-SFDC Integration,30018,Prospecting,2026-08-07,2026-06-09,Partner,,3001.8,ACC000059,OPP001338
Signal Group - Reporting Build,262797,Demo,2026-04-28,2025-12-23,Paid Search,CMP000013,105118.8,ACC000033,OPP001629
Ironwood Health 54 - Reporting Build,59981,Discovery,2026-03-05,2025-09-12,Organic Search,CMP000002,14995.25,ACC000535,OPP000257
Atlas Cloud - RevOps Retainer,44988,Demo,2026-10-12,2026-05-14,Event,CMP000023,17995.2,ACC000324,OPP001620
Clearpath Health 91 - CRM Cleanup,12377,Demo,2025-08-29,2025-07-23,Direct,CMP000024,4950.8,ACC000637,OPP000370
Clearpath Systems - HubSpot-SFDC Integration,12879,Negotiation,2026-07-28,2026-03-23,Outbound,CMP000016,9659.25,ACC000223,OPP001218
Northstar Works 5 - HubSpot-SFDC Integration,54399,Prospecting,2025-11-24,2025-08-15,Referral,CMP000030,5439.9,ACC000137,OPP000901
Keystone Software 93 - Reporting Build,42411,Prospecting,2026-05-05,2026-03-27,Event,CMP000015,4241.1,ACC000065,OPP001006
Signal Solutions - RevOps Retainer,14492,Demo,2025-09-18,2025-07-09,Webinar,CMP000024,5796.8,ACC000055,OPP000772
Keystone Networks 89 - Lifecycle Redesign,105940,Closed Lost,2026-06-22,2026-05-08,Webinar,CMP000021,0.0,ACC000350,OPP000378
Meridian Platform 77 - Reporting Build,33598,Closed Won,2025-07-19,2025-04-27,LinkedIn,CMP000030,33598.0,ACC000623,OPP001498
Meridian Platform 48 - RevOps Retainer,11622,Closed Won,2026-04-26,2026-03-28,Outbound,CMP000010,11622.0,ACC000597,OPP000176
Catalyst Markets - Lifecycle Redesign,650000,Proposal,2026-10-14,2026-05-20,Outbound,CMP000009,390000.0,ACC000504,OPP001405
Nova Group - RevOps Retainer,35395,Discovery,2025-05-29,2025-04-22,Outbound,CMP000002,8848.75,ACC000057,OPP001243
Bright Systems 91 - HubSpot-SFDC Integration,51498,Discovery,2026-01-21,2025-10-15,Paid Search,CMP000026,12874.5,ACC000343,OPP000755
Signal Data 41 - Lifecycle Redesign,95049,Discovery,2025-06-21,2025-01-20,Direct,CMP000034,23762.25,ACC000439,OPP000741
Atlas Networks - CRM Cleanup,59213,Demo,2025-06-17,2025-04-12,Webinar,CMP000026,23685.2,ACC000250,OPP001524
Summit Works 32 - RevOps Retainer,51889,Discovery,2025-09-20,2025-09-05,Event,CMP000027,12972.25,ACC000224,OPP000241
Pioneer Platform 96 - RevOps Retainer,210326,Discovery,2026-03-17,2025-10-16,Event,,52581.5,ACC000616,OPP001371
Meridian Labs 60 - CRM Cleanup,295497,Proposal,2026-09-18,2026-06-07,Referral,CMP000002,177298.2,ACC000118,OPP000290
Apex Dynamics - Reporting Build,55003,Proposal,2026-09-30,2026-04-24,Event,CMP000036,33001.8,ACC000387,OPP000221
Apex Dynamics 7 - Lead Routing,7512,Demo,2025-04-26,2025-03-17,Outbound,CMP000025,3004.8,ACC000425,OPP000034
Clearpath Intelligence 13 - HubSpot-SFDC Integration,59699,Proposal,2026-05-11,2026-02-25,Partner,CMP000015,35819.4,ACC000326,OPP000113
Keystone Systems 68 - RevOps Retainer,37778,Demo,2026-04-26,2026-03-14,Content Download,CMP000016,15111.2,ACC000555,OPP000483
Nimbus Data - RevOps Retainer,132428,Discovery,2025-12-19,2025-08-03,Outbound,CMP000032,33107.0,ACC000141,OPP001086
Catalyst Systems - RevOps Retainer,31778,Closed Lost,2025-12-10,2025-10-08,Content Download,CMP000035,0.0,ACC000221,OPP001275
Nimbus Ops 79 - HubSpot-SFDC Integration,35620,Proposal,2026-07-30,2026-06-07,Event,CMP000033,21372.0,ACC000489,OPP000344
BluePeak Software 47 - HubSpot-SFDC Integration,24606,Closed Lost,2025-07-04,2025-04-06,Direct,CMP000019,0.0,ACC000525,OPP000027
Cobalt Solutions - CRM Cleanup,27877,Closed Won,2026-05-10,2026-02-14,Organic Search,CMP000021,27877.0,ACC000090,OPP001451
Cobalt Analytics 22 - CRM Cleanup,214134,Discovery,2026-02-06,2025-09-08,Partner,CMP000035,53533.5,ACC000650,OPP000224
Apex Solutions 9 - Reporting Build,48602,Prospecting,2026-04-01,2026-01-09,LinkedIn,CMP000034,4860.2,ACC000452,OPP000324
Keystone Platform 69 - Reporting Build,30864,Proposal,2026-05-05,2026-04-09,Partner,CMP000023,18518.4,ACC000194,OPP000383
Summit Dynamics - Lead Routing,267355,Negotiation,2026-03-21,2025-11-21,Direct,CMP000017,200516.25,ACC000022,OPP000758
Clearpath Labs - Lead Routing,5000,Proposal,2026-05-22,2026-01-30,Referral,CMP000025,3000.0,ACC000243,OPP001047
Cobalt Software 99 - Lifecycle Redesign,128359,Closed Lost,2026-08-25,2026-05-01,Content Download,CMP000030,0.0,ACC000327,OPP000066
BluePeak Health - Reporting Build,14948,Prospecting,2025-04-09,2025-02-21,Organic Search,CMP000030,1494.8,ACC000007,OPP001112
Nova Cloud 74 - Lead Routing,54209,Demo,2026-05-08,2026-03-18,LinkedIn,CMP000020,21683.6,ACC000399,OPP000102
Northstar Works - Reporting Build,13961,Demo,2026-07-27,2026-05-19,Paid Search,CMP000010,5584.4,ACC000440,OPP000146
Atlas Health - Reporting Build,53005,Negotiation,2025-09-28,2025-08-15,Webinar,CMP000028,39753.75,ACC000086,OPP001256
Nova Networks 81 - Lifecycle Redesign,115625,Closed Won,2026-10-19,2026-05-09,Webinar,CMP000017,115625.0,ACC000193,OPP000596
Clearpath Networks 24 - RevOps Retainer,18444,Closed Won,2026-03-22,2025-12-14,Direct,CMP000024,18444.0,ACC000593,OPP001294
Vertex Labs - Lifecycle Redesign,40537,Prospecting,2026-09-19,2026-05-13,Outbound,CMP000004,4053.7,ACC000557,OPP000044
